problemsize,H100,A100,V100,MI250X GCD,MI100
32,8708090.0,6080470.0,9852215.0,6127365.0,5208330.0
64,17821100.0,13509250.0,18837450.0,12487800.0,10859400.0
128,35417800.0,27147400.0,39931350.0,25224200.0,20491600.0
256,69716800.0,54122600.0,75333650.0,49397000.0,41599000.0
512,138904000.0,108125500.0,159638500.0,99610900.0,81962600.0
1024,279571000.0,215465500.0,317298000.0,199028000.0,168587500.0
2048,560712500.0,431840000.0,644988500.0,392882500.0,313776500.0
4096,1104865000.0,854669000.0,1224970000.0,757747000.0,581963000.0
8192,2259395000.0,1713720000.0,2545085000.0,1384015000.0,1015120000.0
16384,4505125000.0,3416890000.0,5100080000.0,2788170000.0,2113450000.0
32768,8769130000.0,6902165000.0,9656110000.0,5543090000.0,4166310000.0
65536,17592400000.0,13632000000.0,20146300000.0,11058150000.0,8103120000.0
131072,35362750000.0,27137100000.0,35777850000.0,22134900000.0,15988300000.0
262144,70275350000.0,54078200000.0,78053900000.0,42925200000.0,32524100000.0
524288,140090500000.0,106125500000.0,148829500000.0,83355950000.0,51710000000.0
1048576,280087000000.0,208464000000.0,288884000000.0,142872000000.0,85577100000.0
2097152,534238000000.0,398130500000.0,532508500000.0,265378000000.0,165273000000.0
4194304,967551000000.0,720671000000.0,509621000000.0,455519000000.0,351061000000.0
8388608,1685730000000.0,1191565000000.0,588292500000.0,677922000000.0,502718000000.0
16777216,2409740000000.0,1056665000000.0,681087000000.0,927161500000.0,690399000000.0
33554432,2180950000000.0,1146465000000.0,739129500000.0,1100080000000.0,835612000000.0
67108864,2523580000000.0,1260675000000.0,771665500000.0,1239140000000.0,937772500000.0
134217728,2718140000000.0,1313405000000.0,790332000000.0,1301780000000.0,988527000000.0
268435456,2841685000000.0,1352800000000.0,799321500000.0,1347050000000.0,1014905000000.0
536870912,,1372045000000.0,803975500000.0,1367170000000.0,1030640000000.0
1073741824,,1383695000000.0,806265500000.0,1375660000000.0,1039420000000.0
2147483648,,1391510000000.0,807612000000.0,1380790000000.0,1042675000000.0
4294967296,,1394835000000.0,808273500000.0,1383140000000.0,1043910000000.0
8589934592,,1395380000000.0,808345000000.0,1323225000000.0,1045400000000.0
