radius,H100,A100,V100,MI250X GCD,MI100
0,0.1028305,0.2037315,0.341194,0.208109,0.269878
1,0.105986,0.21435599999999994,0.3485415,0.21570450000000002,0.27192649999999996
2,0.10724249999999999,0.21414149999999998,0.3526195,0.228715,0.2745515
4,0.11165800000000001,0.21720199999999995,0.37907250000000003,0.227492,0.2802975
8,0.131078,0.2297815,0.3875995,0.24333300000000002,0.30262449999999996
16,0.1848135,0.397163,0.475916,0.314376,0.40047849999999996
32,0.3163825,0.533544,0.683168,0.4969965,0.647113
64,0.5900380000000001,1.238415,1.3287,0.90543,1.173155
128,1.14039,2.39847,2.63957,1.757025,2.2133000000000003
256,2.24174,3.68484,5.157675,3.4680549999999997,4.30235
512,4.443580000000001,7.312385,10.2512,6.876645,8.487784999999999
1024,8.83173,14.567450000000001,20.188049999999997,13.8137,16.8471
