radius,H100,A100,V100,MI250X GCD,MI100
0,0.09864200000000001,0.20408549999999995,0.3395455,0.205935,0.272818
1,0.102117,0.20599099999999998,0.3401225,0.209867,0.27658499999999997
2,0.102397,0.20710049999999994,0.339506,0.211149,0.276661
4,0.107528,0.2135355,0.34710949999999996,0.249905,0.304478
8,0.1183315,0.226981,0.3526555,0.348907,0.37092349999999996
16,0.182892,0.3904105,0.4327665,0.5668694999999999,0.576199
32,0.2938225,0.6615409999999999,0.7232795000000001,0.947037,0.990664
64,0.548963,1.220815,1.32404,1.74277,1.831765
128,1.0556,2.3532599999999997,2.560745,3.356445,3.52883
256,2.07754,3.5929300000000004,5.050725,6.6051649999999995,6.879239999999999
512,4.140605,7.128905,10.0408,13.13315,13.6135
1024,8.632304999999999,14.82055,20.17055,26.0334,26.678849999999997
