radius,H100,A100,V100,MI250X GCD,MI100
0,0.073374,0.11465499999999995,0.178861,0.122127,0.15320299999999995
1,0.085858,0.15898999999999996,0.192652,0.147978,0.16006649999999994
2,0.088804,0.14806,0.19954349999999998,0.15754649999999998,0.166203
4,0.0966755,0.19276549999999998,0.221726,0.17214449999999998,0.184337
8,0.11788799999999999,0.24039549999999998,0.268547,0.207233,0.22483799999999993
16,0.17245749999999999,0.31867,0.34033199999999997,0.289182,0.3345699999999999
32,0.2918545,0.526641,0.5657055,0.46312549999999997,0.5687955
64,0.5407154999999999,0.964812,1.0730300000000002,0.858995,1.036045
128,1.04061,1.8392,2.09471,1.670865,1.982105
256,2.03914,3.5933599999999997,4.3407,3.294015,3.8921
512,4.065775,5.52056,8.323419999999999,6.54518,7.736645
1024,8.08868,10.974,16.251350000000002,13.05785,15.373850000000001
