radius,H100,A100,V100,MI250X GCD,MI100
0,0.09661549999999999,0.20417049999999995,0.33382100000000003,0.210143,0.277788
1,0.09726850000000001,0.20411,0.3404205,0.249063,0.303822
2,0.09692500000000001,0.20367499999999994,0.33995,0.276451,0.36609400000000003
4,0.0972915,0.2049355,0.340615,0.38336400000000004,0.5786644999999999
8,0.099206,0.21034999999999998,0.3510135,0.706671,0.993044
16,0.1576815,0.3436905,0.43104549999999997,1.2531050000000001,1.80511
32,0.290784,0.638601,0.728831,2.380635,3.485585
64,0.557286,1.2251400000000001,1.4172950000000002,4.6250599999999995,6.5583849999999995
128,1.09005,2.39924,2.8062899999999997,8.75308,12.5385
256,2.159515,3.6922200000000007,5.618634999999999,14.981549999999999,20.7236
512,4.306075,7.34778,11.145,26.805149999999998,28.66605
1024,8.608495,14.68705,22.004550000000002,62.2539,96.09165
