radius,H100,A100,V100,MI250X GCD,MI100
0,0.0716065,0.11889599999999995,0.17930200000000002,0.121276,0.15128
1,0.080817,0.137676,0.203407,0.164986,0.16423299999999996
2,0.0817345,0.129021,0.20660099999999998,0.22234700000000002,0.2250925
4,0.08497550000000001,0.15534599999999998,0.2212845,0.404607,0.407255
8,0.08849599999999999,0.183782,0.2555585,0.7765995,0.777895
16,0.1088765,0.23582150000000002,0.31740100000000004,1.5153,1.522715
32,0.1669655,0.37002749999999995,0.4605875,2.99529,3.01238
64,0.29041950000000005,0.6409345,0.7557735000000001,5.95923,5.995335000000001
128,0.5499324999999999,1.2127249999999998,1.2868249999999999,11.88475,11.96815
256,1.071265,1.84462,2.32741,23.75685,23.9174
512,2.112235,3.647655,4.87123,47.50045,47.8245
1024,4.193455,7.171695000000001,8.908045,95.02095,95.53775
