radius,H100,A100,V100,MI250X GCD,MI100
0,0.09661549999999999,0.20408549999999995,0.33382100000000003,0.205935,0.271551
1,0.09726850000000001,0.20411,0.3401225,0.209867,0.27624499999999996
2,0.09692500000000001,0.20367499999999994,0.339506,0.211149,0.276661
4,0.0972915,0.2049355,0.340615,0.249905,0.304478
8,0.099206,0.21034999999999998,0.3510135,0.348907,0.37092349999999996
16,0.1576815,0.3436905,0.43104549999999997,0.5668694999999999,0.576199
32,0.290784,0.638601,0.7232795000000001,0.947037,0.990664
64,0.548963,1.220815,1.32404,1.74277,1.831765
128,1.0556,2.3532599999999997,2.560745,3.356445,3.52883
256,2.07754,3.5929300000000004,5.050725,6.6051649999999995,6.879239999999999
512,4.140605,7.128905,10.0408,13.13315,13.6135
1024,8.608495,14.68705,20.17055,26.0334,26.678849999999997
