domainlength,HW-baseline,HW-elementwise,HW-pointwise,SW-baseline,SW-elementwise,SW-pointwise
16,57538.22742459677,39496.9096730454,130787.03036026072,89887.64052036332,49054.62549503593,83083.02745041283
32,114977.01534659781,78984.17440795283,286336.81262960576,218282.5260555967,110642.41872726323,192385.7333971963
64,232063.5709152202,159067.6648866414,574452.1401122364,487788.14751726843,275244.5530659752,424806.02052629634
128,462782.2376703954,318119.51834975916,1220750.960438928,1062293.5581854698,634524.0671302748,922799.0151640177
256,942531.3606950348,638241.6665850943,2818886.5739952615,2213585.018344213,1376706.7668364246,1897891.9564254894
512,1913800.5242817975,1271367.438964115,6453320.586766461,4501098.901098901,2879397.126226696,7514825.621855078
1024,3848430.4810530846,2571626.970219163,12864402.455702433,9019205.467920125,5956674.626291255,15276857.141709315
2048,7641905.105721261,5145062.9177984735,25657729.99293563,18050414.242904987,11947124.63977786,30698204.447397232
4096,15420119.21154543,10288846.460099412,49513448.352532685,36137456.50863008,23894946.262534723,61442458.0439494
8192,30488951.193435647,20552344.251766216,99110770.66639827,71934738.89410876,47703483.749691606,122690749.52574727
16384,60469390.77501428,40896967.655853555,187385986.82248473,143101701.4289208,94955214.45272136,244979739.52959824
32768,118801471.28860238,81015862.96926303,318137479.28910434,281545890.3991889,187805912.49326563,465147310.3937131
65536,223492721.7728882,158586428.1030173,454609146.8448033,541487819.8339975,364234583.8470584,788061711.6196294
131072,279433998.97755396,260988863.70498386,563287793.6834686,876944031.7505971,640043754.5171189,889552486.0105925
262144,189559696.67105287,253203388.38073307,556879956.3866339,916106937.2008991,632574786.7871548,1062223446.8450654
524288,248171333.50836107,217747468.6563521,599128084.7785816,1031290602.1191702,884795126.0203463,1123274904.5747223
1048576,293753738.2045296,237835435.39010352,613643732.2303194,1093583523.760505,1034241414.0019333,1190221931.6790335
2097152,294220054.2030736,271033038.6249307,618982221.6432937,1143182965.5913584,1110926765.16572,1199404058.92905
4194304,308469348.3602605,260740118.27483162,623863194.3705974,1179077805.3635373,1172174472.0919707,1216666014.0191908
8388608,308827640.79588497,259826134.27415022,625859057.6323633,1181921906.9531662,1180920257.0792532,1226626152.5296576
16777216,312417315.7862604,261634498.1217121,626622270.4468883,1189519150.862184,1200267279.0619478,1231034556.1505675
33554432,313439032.2573688,256232698.16868785,627289997.7775232,1194331040.9546099,1210422762.3252616,1231678477.109151
67108864,313372436.81257993,253601302.2331448,627121174.4587005,1196330264.7622988,1212021885.7554717,1232242743.636639
134217728,313186704.1569927,252188229.423852,627333683.8867725,1197015241.6456342,1212971550.4464447,1231976942.4939191
