maxthreadsperblock,H100,A100,V100,MI250X GCD,MI100
0,0.49431400000000003,0.8797335,1.68678,4.411175,7.380285000000001
64,0.5047385,0.9089579999999999,1.8056,1.562985,2.861695
128,0.505631,1.0149000000000001,1.6763849999999998,1.560435,2.797285
256,0.5120255,0.8797229999999999,1.6748399999999999,1.567995,2.70024
512,0.7949875,2.718755,8.55004,1.55598,2.167915
1024,8.039660000000001,22.30975,50.17395,4.40996,7.3864399999999995
