radius,H100,A100,V100,MI250X GCD,MI100
0,0.09875700000000001,0.20438149999999994,0.339649,0.206206,0.271551
1,0.1034235,0.208436,0.34216599999999997,0.226866,0.27624499999999996
2,0.1042585,0.20740599999999995,0.34321199999999996,0.256714,0.3024594999999999
4,0.108296,0.21892149999999994,0.3477305,0.3424605,0.364606
8,0.14858349999999998,0.259272,0.3781965,0.53531,0.5687455
16,0.246536,0.5349135,0.544211,0.942237,0.974629
32,0.4565595,0.78233,1.025795,1.76592,1.7999749999999999
64,0.8867400000000001,1.9583,2.058265,3.380935,3.4453650000000002
128,1.71859,3.807505,4.027570000000001,6.631955,6.740489999999999
256,3.403,5.856635,7.936545000000001,13.1286,13.34045
512,6.798855,11.6935,15.76905,26.1142,26.552149999999997
1024,13.5796,23.34375,30.82575,52.08565,52.966499999999996
