radius,A100,V100,MI250X,MI100
0,3.262639045715332,5.950212478637695,3.1936168670654297,
1,3.420114517211914,5.946040153503418,3.7941932678222656,
2,3.4221410751342773,5.910038948059082,3.9893388748168945,
3,3.4734010696411133,,,
4,3.484487533569336,,,
