radius,H100,A100,V100,MI250X GCD,MI100
0,0.0640655,0.11002599999999996,0.1777125,0.119837,0.15069399999999994
1,0.072252,0.1341109999999999,0.1824225,0.138939,0.155312
2,0.0773395,0.14571149999999988,0.1870415,0.1581465,0.16489999999999994
4,0.09220249999999999,0.16686599999999996,0.213121,0.2174565,0.20229599999999995
8,0.137067,0.2887775,0.301538,0.2995555,0.28420449999999997
16,0.2322765,0.433093,0.493641,0.445048,0.44569349999999996
32,0.4351075,0.950887,0.9417175,0.7286475,0.752882
64,0.8425095,1.856905,2.13847,1.2861150000000001,1.3779400000000002
128,1.643105,3.64468,3.540095,2.38444,2.6313750000000002
256,3.25465,5.596335,7.042669999999999,4.55938,5.104865
512,6.487405,11.1539,13.9054,8.883825,10.07675
1024,12.9586,22.282249999999998,27.9517,17.477,19.97405
