Method,H100,A100,V100,MI250X GCD,MI100
HW-FP32,0.258304,0.4990089999999999,0.9466345,1.0560450000000001,1.403995
HW-FP64,0.49431400000000003,0.8797229999999999,1.6748399999999999,1.55598,2.167915
SW-FP32,0.7134395,1.195045,1.69143,2.2796250000000002,4.0135000000000005
SW-FP64,1.2965900000000001,2.15329,3.979475,12.586749999999999,14.683
