1, 64, 64, 64, 64, 8, 1, 0.09728
1, 58, 58, 58, 64, 2, 1, 0.138752
1, 3, 58, 58, 4, 8, 6, 0.028672
1, 58, 3, 58, 32, 3, 2, 0.012288
1, 58, 58, 3, 32, 5, 1, 0.012288
1, 3, 3, 58, 32, 1, 1, 0.009216
1, 3, 58, 3, 32, 1, 1, 0.009216
1, 58, 3, 3, 8, 12, 1, 0.008704
1, 3, 3, 3, 32, 2, 1, 0.009216
1, 58, 58, 58, 64, 1, 9, 0.089088
1, 3, 58, 58, 4, 8, 4, 0.014848
1, 58, 3, 58, 32, 13, 1, 0.00512
1, 58, 58, 3, 32, 1, 1, 0.005632
1, 3, 3, 58, 8, 4, 1, 0.003584
1, 3, 58, 3, 16, 2, 1, 0.003584
1, 58, 3, 3, 8, 4, 1, 0.003584
1, 3, 3, 3, 32, 2, 1, 0.003584
1, 64, 64, 64, 64, 13, 1, 0.066048
1, 64, 64, 64, 32, 1, 1, 0.254464
1, 64, 64, 64, 64, 6, 1, 0.097792
1, 58, 58, 58, 64, 2, 1, 0.13312
1, 3, 58, 58, 4, 6, 4, 0.026112
1, 58, 3, 58, 64, 3, 1, 0.011776
1, 58, 58, 3, 16, 3, 2, 0.011264
1, 3, 3, 58, 32, 3, 1, 0.008704
1, 3, 58, 3, 8, 4, 1, 0.008704
1, 58, 3, 3, 12, 8, 1, 0.008704
1, 3, 3, 3, 32, 1, 1, 0.009216
1, 58, 58, 58, 64, 11, 1, 0.08448
1, 3, 58, 58, 4, 32, 3, 0.012288
1, 58, 3, 58, 32, 1, 1, 0.004608
1, 58, 58, 3, 64, 1, 1, 0.004608
1, 3, 3, 58, 16, 2, 1, 0.003584
1, 3, 58, 3, 32, 2, 1, 0.003584
1, 58, 3, 3, 32, 1, 1, 0.003584
1, 3, 3, 3, 32, 1, 1, 0.003584
1, 58, 58, 58, 64, 2, 1, 0.134656
1, 3, 58, 58, 4, 14, 4, 0.026624
1, 58, 3, 58, 64, 4, 1, 0.011776
1, 58, 58, 3, 32, 3, 1, 0.011776
